formA	classA	formB	classB	shift
mhg:1_8_10_11_7_3_9_0_5_4_6_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_7_3_9_0_5_4_6_2_1_8_10	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_1_6_5_7_3_2_9_11_0_8_4	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_5_7_3_2_9_11_0_8_4_10_1	mhg:1_10_4_1_5_10_11_4_4_6_9	8
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:3_2_9_11_0_8_4_10_1_6_5_7	mhg:1_5_10_11_4_4_6_9_7_1_10	11
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_3_2_9_11_0_8_4_10_1_6_5	mhg:1_7_9_6_4_4_11_10_5_1_4	10
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_10_1_6_5_7_3_2_9_11_0_8	mhg:4_11_10_5_1_4_10_1_7_9_6	5
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_6_5_7_3_2_9_11_0_8_4_10	mhg:5_11_2_8_11_7_2_1_8_8_6	7
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_7_3_2_9_11_0_8_4_10_1_6	mhg:2_8_11_7_2_1_8_8_6_3_5	9
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:9_11_0_8_4_10_1_6_5_7_3_2	mhg:1_4_10_1_7_9_6_4_4_11_10	1
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:11_0_8_4_10_1_6_5_7_3_2_9	mhg:1_8_8_6_3_5_11_2_8_11_7	2
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_4_10_1_6_5_7_3_2_9_11_0	mhg:1_2_7_11_8_2_11_5_3_6_8	4
mhg:2_9_11_0_8_4_10_1_6_5_7_3	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:0_8_4_10_1_6_5_7_3_2_9_11	mhg:2_7_11_8_2_11_5_3_6_8_8	3
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:4_8_0_11_9_2_3_7_5_6_1_10	mhg:3_5_11_2_8_11_7_2_1_8_8	6
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:1_10_4_8_0_11_9_2_3_7_5_6	mhg:1_10_4_1_5_10_11_4_4_6_9	4
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:7_5_6_1_10_4_8_0_11_9_2_3	mhg:1_5_10_11_4_4_6_9_7_1_10	1
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:5_6_1_10_4_8_0_11_9_2_3_7	mhg:1_7_9_6_4_4_11_10_5_1_4	2
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:8_0_11_9_2_3_7_5_6_1_10_4	mhg:4_11_10_5_1_4_10_1_7_9_6	7
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:10_4_8_0_11_9_2_3_7_5_6_1	mhg:5_11_2_8_11_7_2_1_8_8_6	5
mhg:3_7_5_6_1_10_4_8_0_11_9_2	mhg:4_10_1_7_9_6_4_4_11_10_5	mhg:6_1_10_4_8_0_11_9_2_3_7_5	mhg:2_8_11_7_2_1_8_8_6_3_5	3
